long_name,cre,collection_date,sequencing_type,total_reads,all_mapped_percent,mRNA_percent,genome_percent,ercc_percent,tdt_permillion,major_class,sub_class,major_dissection,layer_dissectoin,color_code,short_name
A02271440,Calb2,2/25/2014,hiseq,24996734,92.34,47.4,34.97,3.86,78.5,Inhibitory,Vip,V1,All,11,A279_V
A12101401,Calb2,11/18/2013,hiseq_122214,8221024,91.72,51,33.12,3.11,131.6,Inhibitory,Vip,V1,All,11,A1602_V
A12101402,Calb2,11/18/2013,hiseq_122214,8496227,90.75,40.01,41.84,5.3,307.8,Inhibitory,Vip,V1,All,11,A1603_V
A12101403,Calb2,11/18/2013,hiseq_122214,7760851,86.46,43.48,33.97,4.82,168.8,Inhibitory,Vip,V1,All,11,A1604_V
A12101404,Calb2,11/18/2013,hiseq_122214,8712070,88.49,45.46,35.21,3.74,249,Inhibitory,Vip,V1,All,11,A1605_V
A12101405,Calb2,11/18/2013,hiseq_122214,7397300,83.56,46.13,29.81,3.82,65.8,Inhibitory,Vip,V1,All,11,A1606_V
A12101406,Calb2,11/18/2013,hiseq_122214,7496815,90.23,55.95,28.18,2.53,55.2,Inhibitory,Vip,V1,All,11,A1607_V
A12101407,Calb2,11/18/2013,hiseq_122214,6805529,91.43,45.58,37.93,3.86,103.4,Excitatory,L4,V1,All,11,A1608_V
A12101408,Calb2,11/18/2013,hiseq_122214,6529548,91.15,59.09,22.66,4.75,445.7,Inhibitory,Vip,V1,All,11,A1609_V
A12101409,Calb2,11/18/2013,hiseq_122214,6486617,89.92,47.15,33.85,5.19,428.9,Inhibitory,Vip,V1,All,11,A1610_V
A12101410,Calb2,11/18/2013,hiseq_122214,6870222,89.39,48.35,33.61,3.54,189.2,Inhibitory,Vip,V1,All,11,A1611_V
A12101411,Calb2,11/18/2013,hiseq_122214,5723131,89.33,45.84,29.91,7.44,310.3,Excitatory,Unknown,V1,All,11,A1612_V
A12101412,Calb2,11/18/2013,hiseq_122214,7886139,91.26,53.15,29.98,3.72,127.7,Glia,OPC,V1,All,11,A1613_V
A12101413,Calb2,11/18/2013,hiseq_122214,7567556,90.52,50.85,31.76,3.74,153.2,Inhibitory,Vip,V1,All,11,A1614_V
A12101414,Calb2,11/18/2013,hiseq_122214,7677969,91.02,45.34,38.74,2.54,140,Excitatory,L2/3,V1,All,11,A1615_V
A12101415,Calb2,11/18/2013,hiseq_122214,7481407,91.54,45.84,38.09,3.17,160.8,Excitatory,L4,V1,All,11,A1616_V
A12101416,Calb2,11/18/2013,hiseq_122214,8524880,91.55,46.79,38.21,2.33,327.3,Excitatory,L4,V1,All,11,A1617_V
A12101417,Calb2,11/19/2013,hiseq_122214,7364480,89.17,50.26,33.24,0.94,149.9,Excitatory,L2/3,V1,upper,58,A1618_VU
A12101418,Calb2,11/19/2013,hiseq_122214,7847769,91.49,53.95,30.6,2.43,60.9,Inhibitory,Vip,V1,upper,58,A1619_VU
A12101419,Calb2,11/19/2013,hiseq_122214,5720827,86.82,44.63,34.74,2.98,44.4,Inhibitory,Vip,V1,upper,58,A1620_VU
A12101420,Calb2,11/19/2013,hiseq_122214,7552931,89.75,48.13,34.72,2.48,132.4,Inhibitory,Unknown,V1,upper,58,A1621_VU
A12101421,Calb2,11/19/2013,hiseq_122214,7570107,91.13,55.02,28.87,2.51,258.6,Inhibitory,Vip,V1,upper,58,A1622_VU
A12101422,Calb2,11/19/2013,hiseq_122214,10781649,90.92,51.8,30.76,3.04,290.9,Inhibitory,Vip,V1,upper,58,A1623_VU
A12101423,Calb2,11/19/2013,hiseq_122214,7618290,90.29,47.46,36.95,1.17,248.3,Excitatory,L2/3,V1,upper,58,A1624_VU
A12101424,Calb2,11/19/2013,hiseq_122214,7455597,83.95,60.13,16.72,3.38,596.7,Inhibitory,Vip,V1,upper,58,A1625_VU
A12101425,Calb2,11/19/2013,hiseq_122214,6951898,90.9,48.54,36.07,1.97,133.2,Inhibitory,Unknown,V1,upper,58,A1626_VU
A12101426,Calb2,11/19/2013,hiseq_122214,7719123,91.11,52.63,31.89,1.15,308.6,Excitatory,L2/3,V1,upper,58,A1627_VU
A12101427,Calb2,11/19/2013,hiseq_122214,6789603,91.03,50.5,33.27,2.12,252.2,Inhibitory,Vip,V1,upper,58,A1628_VU
A12101428,Calb2,11/19/2013,hiseq_122214,9057420,91.39,48.84,35.53,2.11,83.7,Inhibitory,Vip,V1,upper,58,A1629_VU
A12101429,Calb2,11/19/2013,hiseq_122214,7427227,91.81,46.61,38.73,1.66,390.1,Excitatory,L4,V1,upper,58,A1630_VU
A12101430,Calb2,11/19/2013,hiseq_122214,7913243,89.83,30.51,46.73,4.07,183.1,Glia,Astrocyte,V1,upper,58,A1631_VU
A12101431,Calb2,11/19/2013,hiseq_122214,7940635,92.07,44.43,42,1.37,177.7,Excitatory,L4,V1,upper,58,A1632_VU
A12101432,Calb2,11/19/2013,hiseq_122214,8317581,90.45,32.85,44.69,4.17,228.4,Glia,Astrocyte,V1,upper,58,A1633_VU
A12101433,Calb2,11/19/2013,hiseq_122214,7995237,89.47,47,36.43,1.72,255.7,Inhibitory,Vip,V1,lower,59,A1634_VL
A12101434,Calb2,11/19/2013,hiseq_122214,7398156,90.55,37.75,42.55,3.11,121.7,Glia,Astrocyte,V1,lower,59,A1635_VL
A12101435,Calb2,11/19/2013,hiseq_122214,8361028,90.71,47.24,36.92,1.23,223.7,Excitatory,L2/3,V1,lower,59,A1636_VL
A12101436,Calb2,11/19/2013,hiseq_122214,8152945,90.72,50.3,33.5,2.46,194.3,Inhibitory,Vip,V1,lower,59,A1637_VL
A12101437,Calb2,11/19/2013,hiseq_122214,7534755,86.07,44.82,27.82,6.27,213.7,Glia,Astrocyte,V1,lower,59,A1638_VL
A12101438,Calb2,11/19/2013,hiseq_122214,8279611,90.47,58.16,25.02,2.37,205.2,Inhibitory,Vip,V1,lower,59,A1639_VL
A12101439,Calb2,11/19/2013,hiseq_122214,8026629,90.14,52.59,29.81,3.45,151.9,Inhibitory,Vip,V1,lower,59,A1640_VL
A12101440,Calb2,11/19/2013,hiseq_122214,5494450,85.52,48.42,28.96,3.12,280.1,Inhibitory,Vip,V1,lower,59,A1641_VL
A12101441,Calb2,11/19/2013,hiseq_122214,6356068,88.57,46.35,34.59,3.12,89.4,Inhibitory,Vip,V1,lower,59,A1642_VL
A12101442,Calb2,11/19/2013,hiseq_122214,5831929,89.44,39.29,36,5.71,449.4,Glia,Astrocyte,V1,lower,59,A1643_VL
A12101443,Calb2,11/19/2013,hiseq_122214,6380680,91.05,53.28,31.24,1.56,468.6,Inhibitory,Vip,V1,lower,59,A1644_VL
A12101444,Calb2,11/19/2013,hiseq_122214,5914286,91.77,52.24,32.3,2.31,362.3,Inhibitory,Vip,V1,lower,59,A1645_VL
A12101445,Calb2,11/19/2013,hiseq_122214,5388668,87.81,54.66,27.26,1.5,194.9,Glia,OPC,V1,lower,59,A1646_VL
A12101446,Calb2,11/19/2013,hiseq_122214,6223421,93.17,51.67,36.32,0.98,216.6,Inhibitory,Vip,V1,lower,59,A1647_VL
A12101447,Calb2,11/19/2013,hiseq_122214,5551199,92.85,46.76,39.95,1.71,109,Inhibitory,Vip,V1,lower,59,A1648_VL
A12101448,Calb2,11/19/2013,hiseq_122214,5585208,87.96,51.57,30.89,1.79,93.8,Inhibitory,Unknown,V1,lower,59,A1649_VL
B06061401,Rorb,3/4/2014,hiseq_062514,10649829,92.16,46.37,39.35,2.04,394.7,Excitatory,L4,V1,L4,6,B590_V4
B06061402,Rorb,3/4/2014,hiseq_062514,18869336,92.97,50.9,35.69,1.96,187.8,Excitatory,L4,V1,L4,6,B591_V4
B06061403,Rorb,3/4/2014,hiseq_062514,13410302,92.99,55.2,30.8,1.92,459.7,Excitatory,L4,V1,L4,6,B592_V4
B06061404,Rorb,3/4/2014,hiseq_062514,11944285,93.34,50.22,37.09,1.22,177.1,Excitatory,L4,V1,L4,6,B593_V4
B06061405,Rorb,3/4/2014,hiseq_062514,16997530,92.38,50.55,35.39,2.12,437.7,Excitatory,L4,V1,L4,6,B594_V4
B06061406,Rorb,3/4/2014,hiseq_062514,10807582,93.42,51.23,36.31,1.31,206.9,Excitatory,L4,V1,L4,6,B595_V4
B06061408,Rorb,3/4/2014,hiseq_062514,10166872,91.24,43.99,40.85,1.98,490.8,Excitatory,L4,V1,L4,6,B597_V4
B06061409,Rorb,3/4/2014,hiseq_062514,8985329,92.49,47.58,38.59,1.87,262.1,Excitatory,L5a2,V1,L4,6,B598_V4
B06061410,Rorb,3/4/2014,hiseq_062514,7173754,93.55,55.26,32.73,1.37,204.4,Excitatory,L5a2,V1,L4,6,B599_V4
B06061411,Rorb,3/4/2014,hiseq_121514,6269324,93.12,51.94,35.31,0.92,298.4,Excitatory,L4,V1,L4,6,B600_V4
B06061412,Rorb,3/4/2014,hiseq_122214,7526807,91.31,48.41,36.9,2.04,155.3,Excitatory,L4,V1,L4,6,B601_V4
B06061413,Rorb,3/4/2014,hiseq_122214,7200557,93.25,43.52,43.64,2.03,282.6,Excitatory,L4,V1,L4,6,B602_V4
B06061414,Rorb,3/4/2014,hiseq_122214,5751232,91.48,41.32,42.88,2.7,330.4,Excitatory,L4,V1,L4,6,B603_V4
B06061415,Rorb,3/4/2014,hiseq_122214,6679577,93.1,41.09,45.48,1.98,212.9,Excitatory,L4,V1,L4,6,B604_V4
B06061416,Rorb,3/4/2014,hiseq_122214,6269655,92.51,45.72,40.24,2.36,257,Excitatory,L4,V1,L4,6,B605_V4
B07161401,Rorb,3/4/2014,hiseq_122214,14108788,91.39,50.9,34.32,2.25,351.3,Excitatory,L4,V1,L4,6,B821_V4
B07161402,Rorb,3/4/2014,hiseq_122214,6998266,90.72,46.52,38.18,1.89,306.2,Excitatory,L4,V1,L4,6,B822_V4
B07161403,Rorb,3/4/2014,hiseq_122214,20833175,91.53,49.33,36.62,1.59,459.6,Excitatory,L4,V1,L4,6,B823_V4
B07161404,Rorb,3/4/2014,hiseq_122214,20180380,89.59,50.09,33.22,1.31,208,Excitatory,L4,V1,L4,6,B824_V4
B07161405,Rorb,3/4/2014,hiseq_122214,7281818,91.77,50.23,35.13,2.16,274.5,Excitatory,L4,V1,L4,6,B825_V4
B07161406,Rorb,3/4/2014,hiseq_122214,12730601,91.79,50.42,34.93,2.2,336.8,Excitatory,L4,V1,L4,6,B826_V4
B07161407,Rorb,3/4/2014,hiseq_122214,6927052,92.2,49.08,36.67,1.82,115.9,Excitatory,L4,V1,L4,6,B827_V4
B07161408,Rorb,3/4/2014,hiseq_122214,11439799,93.05,52.14,35.6,0.66,336.4,Excitatory,L4,V1,L4,6,B828_V4
B13090617,Rorb,8/8/2013,hiseq,37947418,91.37,48.56,35.95,1.94,293.1,Excitatory,L4,V1,L4,6,B80_V4
B13090618,Rorb,8/8/2013,hiseq,18388503,90.84,39.46,45.18,1.57,216.1,Excitatory,L4,V1,L4,6,B81_V4
B13090619,Rorb,8/8/2013,hiseq,50778018,91.3,43.31,41.75,1.39,206.2,Excitatory,L4,V1,L4,6,B82_V4
B13090620,Rorb,8/8/2013,hiseq,16414822,91.61,42.24,43.05,1.21,232.2,Excitatory,L4,V1,L4,6,B83_V4
B13090621,Rorb,8/8/2013,hiseq,22105124,91.24,49.57,34.73,1.75,440.8,Excitatory,L4,V1,L4,6,B84_V4
B13090622,Rorb,8/8/2013,hiseq,15137449,90.86,43.22,41.1,1.5,349.1,Excitatory,L4,V1,L4,6,B85_V4
B13090623,Rorb,8/8/2013,hiseq_062514,9754503,89.05,41.56,40.97,1.93,292.5,Excitatory,L4,V1,L4,6,B86_V4
B13090624,Rorb,8/8/2013,hiseq,29761884,89.48,45.77,36.43,2.12,607.3,Excitatory,L4,V1,L4,6,B87_V4
B13121001,Rorb,11/12/2013,hiseq,31643390,92.67,55.06,30.27,2.45,184.4,Excitatory,L4,V1,L4,6,B160_V4
B13121002,Rorb,11/12/2013,hiseq,35168364,92.32,50.9,34.54,2.89,259.3,Excitatory,L4,V1,L4,6,B161_V4
B13121003,Rorb,11/12/2013,hiseq,34132297,92.17,52.39,32.6,2.69,447.7,Excitatory,L4,V1,L4,6,B162_V4
B13121005,Rorb,11/12/2013,hiseq,31770570,90.44,51.97,31.13,2.75,214.9,Excitatory,L4,V1,L4,6,B164_V4
B13121006,Rorb,11/12/2013,hiseq,34434269,92.14,53.37,31.77,2.25,266.1,Excitatory,L4,V1,L4,6,B165_V4
B13121007,Rorb,11/12/2013,hiseq,32253994,91.5,51.04,33.16,2.58,404.6,Excitatory,L4,V1,L4,6,B166_V4
B13121008,Rorb,11/12/2013,hiseq,32285081,92.57,52.38,33.08,2.01,202.7,Excitatory,L4,V1,L4,6,B167_V4
B14042525,Rorb,3/4/2014,hiseq,12225960,91.54,40.63,37.65,6.65,538.7,Glia,Astrocyte,V1,L5,7,B379_V5
B14042526,Rorb,3/4/2014,hiseq,14396744,93.48,53.64,33.34,1.45,241.3,Excitatory,L5a1,V1,L5,7,B380_V5
B14042527,Rorb,3/4/2014,hiseq,14811222,93.13,63.88,23.41,0.79,274.2,Excitatory,L5a2,V1,L5,7,B381_V5
B14042528,Rorb,3/4/2014,hiseq,14126414,92.64,58.54,28.47,1.26,228.8,Excitatory,L5a2,V1,L5,7,B382_V5
B14042529,Rorb,3/4/2014,hiseq,10300323,88.25,62.65,19.94,1.69,412.9,Excitatory,L5a2,V1,L5,7,B383_V5
B14042530,Rorb,3/4/2014,hiseq,11004318,92.56,59.59,27.07,1.43,403.8,Excitatory,L5a2,V1,L5,7,B384_V5
B14042531,Rorb,3/4/2014,hiseq_102314,14017932,88.29,57.42,25.55,1.47,183.6,Excitatory,L5,V1,L5,7,B385_V5
B14042532,Rorb,3/4/2014,hiseq,15069261,92.6,59.09,26.78,1.66,292.2,Excitatory,L5a2,V1,L5,7,B386_V5
B14042533,Rorb,3/4/2014,hiseq,12267480,91.03,35.12,40.52,8.89,142.4,Glia,Astrocyte,V1,L5,7,B387_V5
B14042534,Rorb,3/4/2014,hiseq,6514154,93.68,63.04,24.64,1.48,100.9,Excitatory,L5a2,V1,L5,7,B388_V5
B14042535,Rorb,3/4/2014,hiseq,9665482,93.19,61.67,25.19,2.1,165,Excitatory,L5a2,V1,L5,7,B389_V5
B14042536,Rorb,3/4/2014,hiseq,11613648,92.91,51.83,35.47,1.26,297.3,Excitatory,L5a2,V1,L5,7,B390_V5
B14042537,Rorb,3/4/2014,hiseq,10630018,89.33,53.83,29.87,1.12,141.7,Excitatory,L5a2,V1,L5,7,B391_V5
B14042538,Rorb,3/4/2014,hiseq,10694232,91.96,58.99,27.64,0.88,360,Excitatory,L5a2,V1,L5,7,B392_V5
B14042539,Rorb,3/4/2014,hiseq,13794305,92.61,54.81,31.41,1.91,119,Excitatory,L5a2,V1,L5,7,B393_V5
B14042540,Rorb,3/4/2014,hiseq,24348867,89.54,39.43,36.77,6.51,92.3,Glia,Astrocyte,V1,L5,7,B394_V5
C01101441,Cux2,1/2/2014,hiseq,41162363,93.35,46.85,39.44,2.61,282.5,Excitatory,L4,V1,L4,2,C188_V4
C01101442,Cux2,1/2/2014,hiseq,40617654,93.52,50.49,36.33,1.61,292.2,Excitatory,L2/3,V1,L4,2,C189_V4
C01101443,Cux2,1/2/2014,hiseq,40565874,93.17,50.05,36.11,3.08,387.2,Excitatory,L4,V1,L4,2,C190_V4
C01101444,Cux2,1/2/2014,hiseq,18475641,92.63,49.71,36.19,2.54,335.5,Excitatory,L4,V1,L4,2,C191_V4
C01101445,Cux2,1/2/2014,hiseq,15841018,89.65,51.82,31.43,1.61,205.7,Excitatory,L2/3,V1,L4,2,C192_V4
C01101446,Cux2,1/2/2014,hiseq,17604164,91.21,38.32,46.99,1.94,203.4,Excitatory,L4,V1,L4,2,C193_V4
C01101447,Cux2,1/2/2014,hiseq,20199443,93.16,49.18,37.29,1.17,199.4,Excitatory,L2/3,V1,L4,2,C194_V4
C01101448,Cux2,1/2/2014,hiseq,16156710,92.4,52.41,32.85,3.11,421.6,Excitatory,L4,V1,L4,2,C195_V4
C02061549n,Cux2 Neg,11/10/2014,hiseq_020915,7761313,90.68,51.78,31.15,2.36,0,Inhibitory,Vip,V1,L2/3,80,C1996n_V23
C02061550n,Cux2 Neg,11/10/2014,hiseq_020915,6384923,89.59,39.91,28.91,8.45,197.5,Glia,Astrocyte,V1,L2/3,80,C1997n_V23
C02061551n,Cux2 Neg,11/10/2014,hiseq_020915,8566402,88.62,37.31,33.32,6.83,91.8,Glia,Astrocyte,V1,L2/3,80,C1998n_V23
C02061552n,Cux2 Neg,11/10/2014,hiseq_020915,7227598,86.57,62.07,4.39,12.28,0.4,Glia,Astrocyte,V1,L2/3,80,C1999n_V23
C02061553n,Cux2 Neg,11/10/2014,hiseq_020915,8040794,87.02,39.08,34.42,7.81,1.1,Glia,Microglia,V1,L2/3,80,C2000n_V23
C02061554n,Cux2 Neg,11/10/2014,hiseq_020915,6636420,88.07,37.46,31.01,6.73,0,Glia,Astrocyte,V1,L2/3,80,C2001n_V23
C02061555n,Cux2 Neg,11/10/2014,hiseq_020915,8003315,90.71,39.72,37.74,5.08,67.5,Glia,Astrocyte,V1,L2/3,80,C2002n_V23
C02061556n,Cux2 Neg,11/10/2014,hiseq_020915,6624326,92.16,51.41,33.88,1.16,3.2,Excitatory,L2/3,V1,L2/3,80,C2003n_V23
C02061557n,Cux2 Neg,11/10/2014,hiseq_020915,7567600,88.43,48.9,32.2,1.05,0,Inhibitory,Vip,V1,L2/3,80,C2004n_V23
C02061558n,Cux2 Neg,11/10/2014,hiseq_020915,6949914,89.65,48.35,30.61,4.8,0,Endothelial,Endothelial,V1,L2/3,80,C2005n_V23
C02061559n,Cux2 Neg,11/10/2014,hiseq_020915,8047625,90.31,50.1,25.43,5.71,130.1,Glia,Astrocyte,V1,L2/3,80,C2006n_V23
C02061560n,Cux2 Neg,11/10/2014,hiseq_020915,8392487,88.71,42.7,32.19,9.47,0,Glia,Microglia,V1,L2/3,80,C2007n_V23
C02061561n,Cux2 Neg,11/10/2014,hiseq_020915,9413169,89.59,28.65,44.93,7.65,132.5,Glia,Astrocyte,V1,L2/3,80,C2008n_V23
C02061562n,Cux2 Neg,11/10/2014,hiseq_020915,11702797,92.6,52.44,33.53,1.26,6.8,Excitatory,L2/3,V1,L2/3,80,C2009n_V23
C02061563n,Cux2 Neg,11/10/2014,hiseq_020915,7423433,88.11,41.48,32.1,7.43,0,Glia,Microglia,V1,L2/3,80,C2010n_V23
C06041401,Cux2,1/2/2014,hiseq_062514,9661604,93.06,52.47,35.23,1.35,339.9,Excitatory,L2/3,V1,L4,2,C478_V4
C06041402,Cux2,1/2/2014,hiseq_062514,11733617,93.75,48.58,40.11,1.35,286.3,Excitatory,L4,V1,L4,2,C479_V4
C06041403,Cux2,1/2/2014,hiseq_062514,11081715,93.54,48.51,39.07,1.67,245.9,Excitatory,L4,V1,L4,2,C480_V4
C06041404,Cux2,1/2/2014,hiseq_062514,8750318,92.14,47.66,37.88,2.7,148.8,Excitatory,L4,V1,L4,2,C481_V4
C06041405,Cux2,1/2/2014,hiseq_062514,10999866,92.31,46.94,38.19,2.94,284,Excitatory,L4,V1,L4,2,C482_V4
C06041406,Cux2,1/2/2014,hiseq_062514,10165597,93.31,53.32,34.45,2.01,386.8,Excitatory,L4,V1,L4,2,C483_V4
C06041407,Cux2,1/2/2014,hiseq_062514,11879310,93.8,52.02,35.96,1.77,229.6,Excitatory,L2/3,V1,L4,2,C484_V4
C06041408,Cux2,1/2/2014,hiseq_062514,8368645,94.08,50.64,37.97,0.98,255.6,Excitatory,L2/3,V1,L4,2,C485_V4
C06041409,Cux2,1/2/2014,hiseq_062514,9250730,92.89,74.47,10.9,3.34,658.7,Excitatory,L4,V1,L4,2,C486_V4
C06041410,Cux2,1/2/2014,hiseq_062514,10409461,93.26,45.77,40.54,2.27,316.4,Excitatory,L4,V1,L4,2,C487_V4
C06041411,Cux2,1/2/2014,hiseq_062514,9732890,93.66,49.64,38.84,1,347.4,Excitatory,L2/3,V1,L4,2,C488_V4
C06041412,Cux2,1/2/2014,hiseq_062514,10647245,91.63,53.41,31.21,2.81,338.9,Excitatory,L4,V1,L4,2,C489_V4
C06041413,Cux2,1/2/2014,hiseq_062514,9884262,93.2,48.28,38.71,2.2,528.6,Excitatory,L4,V1,L4,2,C490_V4
C06041414,Cux2,1/2/2014,hiseq_062514,5186749,93.18,54.32,31.94,2.67,306.9,Excitatory,L4,V1,L4,2,C491_V4
C06041415,Cux2,1/2/2014,hiseq_062514,8940011,92.21,43.52,42.4,2.12,511.1,Excitatory,L4,V1,L4,2,C492_V4
C06041416,Cux2,1/2/2014,hiseq_062514,8134486,93.74,51.95,36,1.69,226,Excitatory,L4,V1,L4,2,C493_V4
C06041417,Cux2,1/2/2014,hiseq_062514,11866728,92.78,47.21,39.1,1.66,404,Excitatory,L2/3,V1,L4,2,C494_V4
C06041418,Cux2,1/2/2014,hiseq_062514,12184505,93.18,47.77,38.8,1.96,324.1,Excitatory,L4,V1,L4,2,C495_V4
C06041419,Cux2,1/2/2014,hiseq_062514,10098886,93.38,50.23,37.21,1.23,309.6,Excitatory,L2/3,V1,L4,2,C496_V4
C06041420,Cux2,1/2/2014,hiseq_062514,11360232,92.15,49.4,34.92,2.35,227.5,Excitatory,L2/3,V1,L4,2,C497_V4
C06041421,Cux2,1/2/2014,hiseq_062514,8053638,93.33,46.63,40.13,2.3,307.7,Excitatory,L4,V1,L4,2,C498_V4
C06041422,Cux2,1/2/2014,hiseq_062514,9875206,93.14,49.37,37.53,1.76,296.5,Excitatory,L4,V1,L4,2,C499_V4
C06041423,Cux2,1/2/2014,hiseq_062514,9594568,93.25,47.1,39.73,1.49,311.7,Excitatory,L2/3,V1,L4,2,C500_V4
C06041424,Cux2,1/2/2014,hiseq_062514,9037167,92.47,46.66,38.78,2.51,353.8,Excitatory,L4,V1,L4,2,C501_V4
C06041425,Cux2,1/2/2014,hiseq_062514,7635523,93.56,46.14,42.15,1.33,465.6,Excitatory,L4,V1,L4,2,C502_V4
C06041426,Cux2,1/2/2014,hiseq_062514,11521148,93.78,54.52,34.4,0.79,372.9,Excitatory,L2/3,V1,L4,2,C503_V4
C06041427,Cux2,1/2/2014,hiseq_062514,17727883,91.32,36.84,48.39,2.03,288.8,Excitatory,L4,V1,L4,2,C504_V4
C06041428,Cux2,1/2/2014,hiseq_062514,14684487,92.05,42.12,44.78,1.37,510,Excitatory,L4,V1,L4,2,C505_V4
C06041429,Cux2,1/2/2014,hiseq_062514,12147870,93.55,51.43,36.14,2.22,386.2,Excitatory,L4,V1,L4,2,C506_V4
C06041430,Cux2,1/2/2014,hiseq_062514,16566792,94.19,51.56,37.73,0.89,373.9,Excitatory,L2/3,V1,L4,2,C507_V4
C06041431,Cux2,1/2/2014,hiseq_062514,10493046,94.47,46.67,43.16,0.79,206.2,Excitatory,L4,V1,L4,2,C508_V4
C06041432,Cux2,1/2/2014,hiseq_062514,10431304,93.62,47.97,39.65,1.84,261.1,Excitatory,L4,V1,L4,2,C509_V4
C06051401,Cux2,1/2/2014,hiseq_062514,13661024,93.79,56.51,32.89,0.85,415.8,Excitatory,L2/3,V1,L4,2,C510_V4
C06051402,Cux2,1/2/2014,hiseq_062514,7065218,93.65,46.27,42.31,1.22,371.3,Excitatory,L4,V1,L4,2,C511_V4
C06051403,Cux2,1/2/2014,hiseq_062514,8803155,93.24,41.1,46.49,1.07,468.5,Excitatory,L4,V1,L4,2,C512_V4
C06051404,Cux2,1/2/2014,hiseq_062514,20515208,93.66,52.33,35.87,1.26,479.2,Excitatory,L4,V1,L4,2,C513_V4
C06051405,Cux2,1/2/2014,hiseq_062514,12240723,93.87,51.8,36.64,1,413.2,Excitatory,L2/3,V1,L4,2,C514_V4
C06051406,Cux2,1/2/2014,hiseq_062514,23929382,93.64,56.97,31.21,1.03,343.8,Excitatory,L2/3,V1,L4,2,C515_V4
C06051407,Cux2,1/2/2014,hiseq_062514,25534278,92.57,47.49,39.59,1.76,572.6,Excitatory,L4,V1,L4,2,C516_V4
C06051408,Cux2,1/2/2014,hiseq_062514,7719690,93.35,52.77,34.76,1.41,295.5,Excitatory,L4,V1,L4,2,C517_V4
C07211401,Cux2,6/9/2014,hiseq_073014,15448011,94.03,44.21,45.04,0.76,125.7,Excitatory,L2/3,V1,L2/3,1,C958_V23
C07211402,Cux2,6/9/2014,hiseq_073014,8269093,94.04,49.99,38.73,0.93,175.6,Excitatory,L2/3,V1,L2/3,1,C959_V23
C07211403,Cux2,6/9/2014,hiseq_102314,6542841,91.63,47.54,38.5,1.35,375.1,Excitatory,L4,V1,L2/3,1,C960_V234
C07211404,Cux2,6/9/2014,hiseq_102314,7604701,92.55,46.37,40.88,1.35,202.6,Excitatory,L4,V1,L2/3,1,C961_V234
C07211405,Cux2,6/9/2014,hiseq_082114,6908549,92.09,56.73,30.8,0.75,572,Excitatory,L4,V1,L2/3,1,C962_V234
C07211406,Cux2,6/9/2014,hiseq_073014,7157988,92.29,47.46,39.49,0.87,332.8,Excitatory,L2/3_Syt10,V1,L2/3,1,C963_V23
C07211407,Cux2,6/9/2014,hiseq_102314,8703115,92.95,42.94,44.66,1.61,58.5,Excitatory,L4,V1,L2/3,1,C964_V234
C07211408,Cux2,6/9/2014,hiseq_102314,8574257,92.32,46.29,40.41,1.61,208.4,Excitatory,L4,V1,L2/3,1,C965_V234
